name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2016-11-11,2016,6472,1610612738,400899575,1,5,16,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New York Knicks",20,8,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-31,2016,6472,1610612738,400900524,1,3,53,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Orlando Magic",9,2,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-16,2016,6472,1610612738,400899833,4,2,03,0,"Cutting Layup Shot","2PT Field Goal",2,"Charlotte Hornets",25,7,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-03,2016,6472,1610612738,400899736,1,2,44,1,"Cutting Layup Shot","2PT Field Goal",2,"Philadelphia 76ers",-27,-5,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-27,2016,6472,1610612738,400900291,2,4,46,0,"Cutting Layup Shot","2PT Field Goal",2,"Atlanta Hawks",-22,3,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-06,2016,6472,1610612738,400900340,1,4,56,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",9,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-10-27,2016,6472,1610612738,400899422,2,1,14,1,"Cutting Layup Shot","2PT Field Goal",2,"Chicago Bulls",-25,7,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,3,11,28,1,"Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",1,0,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-30,2016,6472,1610612738,0,2,5,38,0,"Cutting Layup Shot","2PT Field Goal",2,"Detroit Pistons",-24,7,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-28,2016,6472,1610612738,400900127,2,1,30,1,"Driving Bank Hook Shot","2PT Field Goal",7,"Milwaukee Bucks",-79,11,0,0.00,,0.00,0.00
